Auslenkung 1 T1,Auslenkung 2 (resultierend) T1,Auslenkung 3 T1,Auslenkung 4 T1
6,"43,15",49,"5,8"
6,"43,3",49,"5,9"
6,"43,05",49,6
6,"43,15",49,"5,85"
6,"43,1",49,"5,85"
7,"41,5","47,5","6,6"
7,"42,15","47,5","6,5"
7,"41,95","47,5","6,45"
7,"41,65","47,5","6,55"
7,42,"47,5","6,45"
8,"40,325",46,"7,3"
8,"40,5",46,"7,4"
8,"40,45",46,"7,4"
8,"40,5",46,"7,45"
8,"40,4",46,"7,35"
"9,5","38,3","44,5","8,25"
"9,5","38,25","44,5","8,2"
"9,5","38,25","44,5","8,1"
"9,5","38,2","44,5","8,15"
"9,5",38,"44,5","8,1"
11,"36,05",43,"8,95"
11,"35,95",43,"8,9"
11,"36,1",43,"8,95"
11,"36,05",43,"9,05"
11,"36,1",43,"8,9"
